"ID","ZT2_1","ZT6_1","ZT10_1","ZT14_1","ZT18_1","ZT22_1","ZT2_2","ZT6_2","ZT10_2","ZT14_2","ZT18_2","ZT22_2"
"2810459M11Rik",30.29,26.33,22.4,22.69,26.78,29.49,29.61,24.07,16.6,23.27,27.49,30.01
"Abcb11",120.42,87.88,54.15,56.71,69.88,93.61,114.4,73.12,51.4,53.78,79.76,96.2
"Acot7",4.16,5.76,5.97,7.71,5.95,4.15,2.89,5.43,6.64,6.68,5.57,4.79
"Ahctf1",5.81,4.8,5.88,8.71,9.85,9.03,5.08,4.63,6.41,7.99,10.4,7.47
"Ap2a2",18.5,14.47,11.68,16.16,17.51,18.87,17.92,15.41,13.35,15.61,18.73,19.31
"Asb13",14.29,12.77,9.53,12.43,14.58,15.88,15.26,12.19,10.69,12.11,13.76,16.12
"Asl",67.61,105.05,162.45,163.86,171.99,132.11,68.08,94.54,137.4,185.76,170.54,115.64
"Chka",5.19,1.1,1.48,4.25,6.67,9.12,4.96,1.03,1.22,3.85,9.05,9.53
"Clic3",1.28,0.12,0.05,1.03,2.26,2.84,1,0.12,0.25,0.59,2.44,14.52
"Clpx",69.46,21.11,17.53,36.47,77.5,78.53,60.78,18.24,18.96,30.65,74.59,67.25
"Col27a1",1.13,3.61,5.71,9.38,6.79,6.76,1.57,3.6,5.69,10.86,6.96,4.05
"Cry1",1.97,1.56,4.91,8.81,12.34,9.44,2.3,1.51,3.82,9.79,12.75,6.54
"Daxx",3.34,2.98,2.78,2.36,2.57,3.06,3.77,2.95,2.49,1.9,2.65,2.96
"Dbt",23.1,26.74,31.08,31.63,30.65,23.85,20.77,25.99,27.53,31.68,30.86,24.16
"Dhrs3",39.95,30.31,22.23,32.12,37.26,51.74,34.66,30.49,19.77,30.76,46.43,37.59
"Dpp9",6.91,4.17,3.15,4.59,5.39,6.7,6.54,4.27,3.64,4.52,6.48,7.98
"Dtx4",5.21,2.32,1.04,3.6,4.75,6.77,5.18,1.64,1.33,2.74,5.15,6.05
"Enpp5",6.31,6.29,5.67,5.55,5.52,6.34,6.72,5.89,5.62,5.23,5.71,6.09
"Fgfr4",7.82,6.94,5.66,7.02,7.85,8.63,8.14,6.11,4.73,7.5,8.64,11.79
"Fmo5",159.89,199.94,319.53,349.37,316.02,216.53,162.08,204.51,309.09,351.85,270.28,215.46
"Fus",8.8,9.32,6.85,4.15,4.55,5.84,8.51,8.73,8.64,4.31,5,6.04
"Gldc",29.66,23.09,16.95,32.91,37.19,47.33,31.96,21.37,17.35,27.04,32.32,40.19
"Herpud1",53.91,100.91,113.06,107.28,92.34,56.74,53.68,99.63,154.27,116.96,65.63,67.65
"Homer2",4.05,6.57,14.67,14.84,9.54,6.92,4.36,7.2,9.88,14.42,9.61,6.49
"Il6ra",4.77,5.18,10.44,10.85,6.91,4.81,4.76,4.15,8.61,11.83,6.94,4.72
"Itga5",3.68,2.7,1.91,3.48,4.34,5.02,3.76,2.41,2.01,3.5,4.67,4.56
"Lasp1",50.06,31.62,21.77,29.23,39.19,42.97,43.26,30.79,23.4,30.67,37.01,48.7
"Marveld1",8.84,10.8,20.22,21.02,15.56,10.97,7.39,12.23,17.34,17.72,14.29,10.84
"Mthfr",2.5,0.63,0.7,1.82,4.23,5,3.36,0.76,0.8,1.46,4.33,4.38
"Nf2",4.75,4.62,5.28,6.91,5.53,4.87,4.3,4.99,5.35,5.93,5.25,4.82
"Nfil3",13.18,5.14,6.36,12.01,15.27,19.5,12.19,4.28,7.35,12.93,19.7,21.84
"Nme7",2.7,2.55,2.12,2.02,1.44,1.87,2.2,2.64,2.11,2.04,1.45,1.95
"Nr1d1",11.5,35.43,5.16,0.95,1.02,2.63,10.62,27.09,5.84,1.65,0.96,3.63
"Nr1d2",6.51,23.9,19.69,9.13,3.76,3.36,8.32,25.84,20.77,11.38,4.01,4.79
"Nr1h2",9.01,8.73,6.48,6.57,7.51,7.84,9.1,8.76,7.2,6.47,7.25,8.66
"Papss2",29.31,40.93,63.44,45.03,37.14,33.63,20.22,38.29,63.22,49.76,37.03,21.23
"Phf20",0.88,0.94,1.08,1.21,1.41,1.14,0.85,1.06,1.09,1.47,1.47,1.17
"Pnkd",24.89,21.06,12.43,25.96,40.73,40.78,25.35,18.23,16.43,22.51,35.24,36.03
"Pnpla7",14.49,13.24,9.63,9.04,8.79,12.95,13.83,12.82,11.59,8.15,8.99,11.72
"Pnrc1",26.44,13.06,12.66,28.05,36.99,46.76,25.09,13.92,14.48,25.83,54.98,46.42
"Por",26.08,62.65,130.9,94.25,53.01,26.43,26.58,81.56,108.55,117.64,44.4,31.2
"Ppard",3.26,0.78,1.31,1.74,3.19,5.33,2.2,1,0.93,1.68,4.68,7.45
"Ppp1r3c",43.08,33.25,11.89,39.99,104.2,118.2,47.19,26.47,16.91,36.74,117.01,69.7
"Prkar1a",33.84,28.15,24.56,26.22,26.96,27.75,32.02,29.08,26.96,24.25,27.79,28.31
"Psmd2",41.74,38.06,32.62,32.35,32.79,38.32,43.71,38.85,36.21,33.19,32.79,38.04
"Rhbdd2",2.41,3.79,4.76,4.31,3.41,2.06,2.18,4.05,5.1,5.24,2.96,2.76
"Rorc",9.51,19.28,31.84,54.1,52.02,26.52,8.53,19.35,36.17,42.27,49.57,21.19
"Samd1",1.28,1.46,1.94,2.69,3.39,2,1.86,1.75,2,2.99,3.12,2.39
"Slc30a10",12.76,8.02,3.79,9.8,14.64,20.2,14.35,6.59,5.74,7.54,14.73,16.95
"Slc38a3",252.33,439.21,420.86,232.98,174.51,166.14,213.43,434.81,374.18,281.3,185.96,187.9
"Slc39a8",6.03,5.51,4.57,5.38,6.39,6.87,5.98,5.39,4.35,4.63,6.18,6.53
"Slc45a3",9.63,4.36,7,12.53,12.71,12.59,8.91,3.27,9.52,11.28,13.03,11.85
"St6gal1",34.78,22.64,13.92,11.87,15.27,22.17,30.78,25.67,18.09,11.94,17.48,18.85
"Stard13",4.21,3.3,2.9,4.53,4.79,4.82,4.32,2.84,2.59,4.74,5.68,4.93
"Sumo3",23.49,16.47,14.28,19.84,22.01,26.77,22.73,16.67,16.29,16.98,22.1,25.07
"Tjp3",5.08,3.86,1.79,4.7,6.96,6.93,5.09,3.19,2.99,4.27,5.82,6.63
"Tuba4a",63.87,55.13,36.15,43.45,56.03,63.93,56.84,54.39,36.41,47.33,53.52,64.13
"Usp2",0.27,3.45,7.31,4.34,2.06,0.26,0.19,4.51,7.74,4.41,1.02,0.31
"Vps13a",0.96,1.3,1.74,1.89,1.56,1.08,0.9,1.45,1.59,1.91,1.58,1.37
"Wdr61",16.2,17.35,16.78,16.02,13.01,14.7,15.9,18.22,18.68,15.85,13.41,15.19
"Ypel2",5.39,2.35,1.92,4.36,6.13,7.06,4.39,1.82,2.56,3.63,9.24,6.53
"Akr1d1",27.77,79.62,94.51,94.11,90.49,76.65,24.41,73.34,94.99,88.98,74.71,57.28
"Arpc4",22.69,22.25,17.26,16.29,18.25,18.78,20.67,19.42,17.63,15.31,16.95,19.63
"Ceacam1",24.11,21.15,18.25,21.19,23.45,29.93,27.63,20.46,18.01,20.38,25,27.92
"Coq6",3.11,3.52,4.86,4.42,3.89,3.29,3.16,4.04,4.79,4.28,3.59,2.77
"Crot",163.54,92.56,59.57,65.94,113.4,135.34,145.42,107.3,77.59,50.64,100.79,133.21
"Dnajb6",10.76,10.65,16.85,14.93,10.61,9.57,10.69,11.45,15.75,13.1,10.35,10.06
"Elovl3",319.78,41.32,10.07,78.18,243.68,359.98,291.18,28.04,59.46,64.02,200.31,346.88
"Fkbp4",46.61,42.86,45.93,58.79,59.18,54.54,43.75,41.84,45.66,64.48,62.47,55.09
"Fkbp5",3.57,4.37,13.87,16.65,7.16,5.53,3.81,5.32,10.55,12.84,7.47,5
"Gata6",0.93,0.75,0.67,0.84,0.9,1.01,0.86,0.75,0.7,0.86,1.07,1.08
"Gda",5.86,8.07,13.13,15.56,12.14,8.47,4.76,9.26,13.26,14.74,9.04,10.07
"Il15",0.31,0.52,0.37,0.28,0.27,0.21,0.34,1.08,0.57,0.27,0.12,0.23
"Ipmk",9.33,10.46,12.49,12.45,11.03,8.66,7.5,9.69,12.48,14.53,10.35,9.04
"Kctd17",1.79,0.97,0.62,0.39,0.75,1.07,1.3,1.24,0.74,0.72,0.91,1.01
"Kpnb1",17,15.99,14.04,17.84,17.94,20.1,17.77,15.52,16.17,17.7,19.29,18.8
"Lgals9",192.46,171.54,152.79,127.75,139.67,191.14,192.9,175.45,153.16,92.47,139.38,166
"Lingo4",0,0.07,0.1,0.37,0.14,0.08,0.07,0,0.18,0.48,0.36,0.07
"Lonp2",113.47,114.63,83.22,75.6,82.63,112.21,122.1,109.94,107.28,64.67,72.8,104.67
"Lpl",5.4,2.19,1.89,1.78,1.3,2.19,5.82,2.69,1.29,0.83,1.71,2.39
"Lrp5",12.49,7.61,5.52,9.78,10.88,12.18,11.5,7.34,6.12,9.64,11.68,12.27
"Map2k3",16.94,16.44,28.13,20.09,16.89,14.8,15.73,19.5,23.41,21.09,16.56,14.77
"Myo1b",19.04,16.21,15.71,19.54,22.63,22.99,18.49,13.58,15.13,18.28,20.02,19.82
"Nr2f6",30.3,23.18,19.9,22.3,27.53,29.33,29.71,24.87,19.06,22.48,27.37,28.22
"Per1",0.17,1.48,2.97,2.61,1.16,0.46,0.18,1.17,3.44,2.15,0.52,0.36
"Pitx3",2.05,0.22,0,0.59,2.39,3.01,1.9,0.03,0.52,0.87,2.12,4.43
"Ppif",11.77,17.79,23.25,18.14,12.66,11.49,11.96,18.34,20.43,20.03,12.42,13.27
"Psma1",32.4,29.01,26.52,22.54,22.73,24.88,27.07,28.68,26.58,21.19,22.73,26.48
"Pxmp4",40.95,25.08,27.9,37.27,53.07,57.9,38.28,22.52,32.73,30.47,59.92,47.91
"Slc15a4",2.63,6.06,7.5,7.55,5.56,4.61,2.95,5.66,6.08,6.68,5.42,4.34
